Gender,Age,openness,neuroticism,conscientiousness,agreeableness,extraversion,Personality (Class label)
Female,19,5,6,5,6,4,dependable
Male,19,6,5,5,6,6,responsible
Female,19,5,5,5,7,3,dependable
Male,18,6,6,4,4,3,extraverted
Male,18,7,6,6,5,7,extraverted
Female,17,5,5,5,5,3,responsible
Female,19,5,5,4,4,4,dependable
Female,18,5,4,5,6,4,responsible
Female,18,7,4,6,6,4,serious
Female,17,4,6,4,4,1,extraverted
Female,17,7,4,5,5,5,dependable
Female,19,6,4,5,5,6,lively
Female,18,5,1,3,5,2,lively
Male,18,3,6,3,3,2,extraverted
Female,18,7,5,7,5,2,lively
Male,21,6,5,5,5,3,serious
Female,21,6,5,6,5,2,responsible
Female,18,6,4,4,6,4,extraverted
Male,18,7,5,7,6,1,serious
Female,19,5,4,7,4,4,dependable
Female,18,4,6,2,1,4,serious
Male,20,5,6,6,5,3,dependable
Male,18,6,7,6,5,4,responsible
Female,18,6,4,5,4,6,dependable
Male,18,6,5,3,5,3,extraverted
Female,18,7,5,2,4,3,extraverted
Male,21,4,4,4,4,4,serious
Male,21,6,6,5,6,4,lively
Male,18,3,6,6,1,3,responsible
Female,18,4,4,5,7,3,dependable
Female,19,5,5,4,6,3,lively
Male,19,2,5,3,6,4,serious
Female,19,5,5,2,2,1,responsible
Male,18,5,3,3,6,2,responsible
Female,19,6,5,2,3,3,lively
Male,27,7,5,6,7,3,dependable
Male,17,6,5,4,7,5,dependable
Female,21,4,6,3,5,2,lively
Female,18,7,6,4,1,1,extraverted
Female,17,7,4,7,3,7,responsible
Female,19,5,1,5,1,5,lively
Female,18,6,5,3,2,3,extraverted
Male,22,7,5,3,6,3,dependable
Female,19,5,5,6,3,2,serious
Female,18,7,5,7,1,5,serious
Female,17,7,4,4,6,4,lively
Male,19,3,4,4,2,5,lively
Male,18,2,6,6,7,5,extraverted
Female,19,6,2,6,5,5,responsible
Female,19,3,6,6,1,4,dependable
Male,19,4,6,7,6,5,dependable
Female,28,6,4,6,5,4,responsible
Female,17,5,3,4,7,6,dependable
Female,18,5,5,5,6,5,responsible
Male,20,7,5,7,2,2,serious
Female,18,4,5,5,6,3,serious
Female,19,4,6,6,5,6,lively
Female,19,5,3,6,5,2,serious
Male,28,7,3,6,4,3,extraverted
Female,17,2,6,3,6,1,serious
Male,18,5,7,7,6,2,extraverted
Male,20,7,2,4,5,2,responsible
Female,18,3,1,6,5,2,responsible
Female,19,5,3,4,5,3,lively
Female,19,3,5,5,7,4,extraverted
Female,21,7,2,3,3,5,responsible
Female,18,5,5,4,5,3,serious
Female,17,4,3,7,6,3,responsible
Female,19,4,7,6,5,3,serious
Female,18,3,7,6,1,6,serious
Male,22,2,6,5,4,6,extraverted
Male,19,6,2,6,6,3,extraverted
Female,18,7,5,6,2,6,dependable
Female,17,7,7,6,6,4,dependable
Female,19,6,2,7,6,3,lively
Female,18,5,3,6,7,7,lively
Female,20,5,5,6,2,5,dependable
Female,18,4,6,5,1,6,responsible
Male,19,3,5,7,6,5,serious
Female,19,5,2,5,4,4,serious
Male,18,5,3,6,7,4,serious
Female,17,6,3,5,5,7,extraverted
Male,23,5,3,4,5,5,serious
Female,19,3,4,7,7,7,extraverted
Female,18,7,5,4,1,5,dependable
Female,17,4,1,7,6,5,responsible
Female,18,3,6,3,7,6,lively
Female,19,6,4,3,1,7,extraverted
Female,19,5,2,2,2,4,dependable
Female,19,2,2,3,4,4,serious
Male,18,6,3,2,3,4,responsible
Female,19,4,6,6,5,4,extraverted
Male,19,5,6,4,6,2,lively
Male,18,2,5,3,7,1,serious
Female,19,4,7,5,4,5,extraverted
Female,17,4,7,4,7,3,dependable
Female,19,1,1,5,5,6,dependable
Female,19,7,6,6,5,7,dependable
Female,19,5,7,7,7,4,responsible
Male,18,6,7,5,4,1,dependable
Female,19,7,4,4,4,6,responsible
Male,27,5,5,6,6,7,lively
Male,17,2,7,2,6,2,responsible
Male,21,6,3,4,5,1,lively
Female,18,6,3,5,3,2,extraverted
Female,17,5,4,1,5,2,extraverted
Male,19,5,3,1,3,3,responsible
Female,18,5,5,2,6,4,serious
Female,19,5,7,2,4,2,extraverted
Female,19,5,4,2,1,5,lively
Male,18,7,7,1,1,1,extraverted
Female,19,6,2,2,7,4,extraverted
Male,20,5,3,1,5,5,serious
Female,19,5,7,1,6,6,serious
Male,19,4,5,5,4,3,serious
Female,18,5,3,4,6,2,responsible
Female,19,6,1,5,4,5,serious
Female,27,5,2,3,7,5,extraverted
Female,23,6,7,3,7,7,lively
Male,20,6,5,1,7,4,lively
Male,25,5,7,1,3,6,extraverted
Female,18,6,7,4,4,6,serious
Male,21,5,5,2,7,1,dependable
Male,22,3,4,7,6,5,serious
Male,17,4,4,7,6,5,lively
Female,20,4,5,3,4,1,responsible
Male,18,6,3,1,5,7,lively
Female,19,5,2,3,6,1,serious
Male,19,4,5,5,7,5,extraverted
Female,18,5,3,1,5,5,extraverted
Female,18,2,7,1,4,4,responsible
Male,20,6,6,1,2,2,lively
Female,18,5,5,3,6,1,extraverted
Male,19,5,5,2,7,4,dependable
Male,19,4,7,4,6,4,responsible
Male,17,6,2,1,6,6,serious
Female,19,4,5,2,5,5,responsible
Male,18,7,2,1,7,6,dependable
Male,19,3,4,3,6,3,responsible
Female,19,6,1,1,7,6,serious
Female,18,2,5,7,7,7,dependable
Male,22,6,1,2,7,4,serious
Male,19,5,1,1,2,3,lively
Female,18,5,5,6,6,5,extraverted
Female,17,4,4,4,7,5,serious
Female,19,4,1,1,3,5,dependable
Male,18,4,3,3,7,7,serious
Female,20,5,1,5,7,6,lively
Female,23,5,5,5,7,6,extraverted
Male,20,6,2,7,6,1,lively
Female,25,6,1,4,6,4,responsible
Female,18,4,1,2,7,5,responsible
Female,21,6,1,5,7,7,extraverted
Male,22,5,4,6,5,3,serious
Male,19,7,2,1,6,4,extraverted
Female,18,6,1,3,7,5,responsible
Male,19,1,2,3,7,6,responsible
Female,19,4,1,4,7,4,responsible
Female,19,5,5,5,4,4,dependable
Male,19,5,1,5,6,6,dependable
Female,19,5,1,7,6,5,dependable
Female,19,5,1,2,5,4,responsible
Male,19,7,2,6,4,4,serious
Male,19,6,7,6,6,4,extraverted
Female,18,4,5,5,4,6,serious
Male,17,3,4,3,1,5,lively
Female,19,6,1,2,7,7,extraverted
Male,18,7,2,4,6,5,extraverted
Female,19,6,5,5,4,6,dependable
Male,19,5,3,6,6,5,lively
Male,19,2,1,5,6,6,lively
Female,19,6,1,4,6,7,serious
Female,19,5,1,3,7,5,responsible
Male,19,5,3,2,7,7,dependable
Female,19,5,1,3,5,4,responsible
Male,19,3,4,2,4,6,extraverted
Male,18,6,3,6,7,6,responsible
Female,21,6,4,5,5,5,extraverted
Female,22,5,1,1,7,6,serious
Female,17,7,3,3,1,6,dependable
Male,20,6,1,6,4,5,extraverted
Male,18,5,7,6,5,6,extraverted
Female,19,4,5,5,4,4,dependable
Male,19,6,5,1,4,7,responsible
Male,22,3,4,3,4,7,lively
Male,19,5,7,2,6,5,serious
Male,18,2,6,7,3,6,serious
Female,19,5,6,3,4,7,serious
Female,19,3,5,3,3,4,extraverted
Male,19,5,6,5,6,1,dependable
Female,19,7,3,3,5,5,responsible
Male,23,4,3,6,2,6,dependable
Female,20,3,4,7,6,4,lively
Male,25,2,6,6,2,5,responsible
Male,18,6,6,4,4,4,lively
Female,21,6,6,4,7,5,extraverted
Male,22,7,7,2,5,4,serious
Male,17,4,7,7,3,5,responsible
Female,25,5,5,5,4,5,responsible
Female,26,1,5,4,6,5,dependable
Male,27,1,5,2,7,3,dependable
Male,20,4,2,3,5,5,serious
Female,17,6,3,3,1,5,serious
Female,19,6,1,6,4,6,serious
Male,19,6,3,3,6,7,lively
Male,21,7,2,4,6,4,serious
Female,22,6,4,4,4,5,extraverted
Male,23,3,3,2,3,7,responsible
Male,21,4,4,1,6,6,lively
Female,21,7,1,4,5,4,dependable
Male,20,7,4,6,3,4,serious
Female,20,6,5,1,3,5,lively
Female,18,4,4,1,5,3,dependable
Male,18,4,4,4,6,3,lively
Male,19,5,4,3,5,6,dependable
Male,18,4,3,3,5,3,serious
Female,19,6,6,2,3,7,extraverted
Male,20,6,6,6,3,3,dependable
Male,21,6,2,2,7,5,lively
Female,21,6,4,7,5,7,serious
Male,25,7,7,5,6,7,extraverted
Female,22,3,6,7,4,3,lively
Male,17,5,2,7,5,1,lively
Male,20,3,4,7,5,5,extraverted
Female,18,5,5,5,7,5,dependable
Female,19,5,6,7,4,5,serious
Female,19,3,5,6,5,5,extraverted
Male,18,3,5,2,5,2,responsible
Female,18,5,4,6,7,5,serious
Female,20,6,4,7,5,5,serious
Male,18,7,4,3,6,5,responsible
Male,17,5,4,6,7,1,lively
Female,17,5,5,7,6,4,serious
Male,20,6,6,5,4,5,serious
Male,18,6,3,1,4,6,lively
Female,19,3,5,3,5,4,serious
Male,19,6,6,6,4,6,responsible
Female,18,5,7,6,7,6,dependable
Female,18,2,7,5,7,4,dependable
Female,20,6,6,1,5,1,lively
Male,18,6,7,3,1,5,extraverted
Female,20,3,6,2,5,7,extraverted
Male,18,7,7,7,6,2,lively
Male,18,6,6,3,6,5,responsible
Female,18,6,6,3,6,3,serious
Female,18,5,5,7,5,6,serious
Male,21,7,6,7,5,5,responsible
Male,21,6,7,7,4,2,dependable
Female,18,4,6,3,5,4,serious
Male,18,6,5,5,4,5,extraverted
Female,19,6,6,6,6,4,dependable
Male,19,2,5,5,3,5,extraverted
Female,18,5,4,6,4,5,lively
Male,19,4,5,7,4,3,dependable
Male,19,1,6,5,1,7,dependable
Female,20,3,7,3,2,6,lively
Male,22,5,6,7,5,4,responsible
Male,21,4,6,7,6,5,lively
Female,20,2,6,7,4,3,serious
Male,17,3,7,6,3,5,serious
Female,18,3,7,6,6,7,dependable
Female,19,7,7,3,5,7,serious
Female,17,6,7,3,7,5,extraverted
Male,20,3,7,7,5,3,extraverted
Female,17,4,4,5,2,3,lively
Female,19,7,4,1,3,6,extraverted
Male,19,6,5,5,6,5,responsible
Female,21,4,5,7,7,4,extraverted
Female,22,7,5,7,5,5,serious
Male,26,1,6,3,6,6,lively
Female,26,3,5,5,5,5,serious
Male,24,5,4,5,7,5,serious
Male,21,2,6,6,7,6,extraverted
Female,20,4,5,2,2,3,extraverted
Male,18,6,5,4,3,7,serious
Male,19,1,5,4,7,4,dependable
Male,17,3,3,2,6,4,lively
Female,17,5,5,3,6,5,lively
Female,21,2,3,6,7,5,dependable
Male,20,4,7,3,5,1,lively
Female,22,7,3,4,7,5,dependable
Male,17,4,5,2,5,6,serious
Male,20,6,4,5,7,5,extraverted
Female,18,1,4,2,5,2,dependable
Male,19,5,3,4,5,2,responsible
Female,19,5,7,6,4,4,dependable
Male,18,5,1,7,5,3,serious
Male,20,7,4,7,6,5,serious
Male,25,5,2,3,5,4,responsible
Female,18,6,1,5,5,5,responsible
Female,21,7,1,3,4,5,extraverted
Male,22,6,2,2,4,5,dependable
Female,17,4,4,5,4,5,lively
Male,20,4,3,3,4,3,serious
Female,18,5,4,3,4,6,serious
Male,19,4,3,1,7,3,lively
Male,19,7,4,4,3,6,responsible
Male,18,7,4,3,2,6,responsible
Female,18,5,8,1,7,4,extraverted
Male,20,1,7,6,3,6,lively
Male,17,5,5,4,5,3,lively
Male,17,6,4,7,4,6,extraverted
Female,18,6,6,5,3,1,dependable
Female,19,6,2,7,1,2,dependable
Male,26,5,6,3,5,4,serious
Male,24,6,2,5,6,2,extraverted
Female,21,1,6,6,2,6,dependable
Male,20,4,6,6,3,4,lively
Female,18,4,2,6,2,3,serious
Male,19,6,3,4,4,5,extraverted
Male,17,6,5,6,4,5,responsible
Female,17,7,6,5,5,4,extraverted
Female,17,7,5,7,2,3,extraverted
Male,19,5,5,7,4,5,responsible
Male,18,7,4,5,2,5,dependable
Female,19,6,5,4,4,5,serious
Male,19,6,5,7,4,5,lively
Female,19,6,4,2,7,6,serious
Male,21,6,6,7,3,6,extraverted
Female,20,5,6,6,3,6,dependable
Female,20,5,5,4,4,4,responsible
Female,18,4,6,6,4,5,extraverted
Male,25,6,4,4,6,6,serious
Female,25,7,4,5,5,5,serious
Male,17,3,7,1,5,7,responsible
Male,21,5,5,6,6,4,lively
Female,25,7,6,7,1,1,responsible
Female,22,5,5,4,3,5,serious
Male,17,6,3,7,1,4,dependable
Female,20,5,6,6,4,4,dependable
Male,23,1,3,5,6,4,serious
Male,24,4,7,6,4,6,dependable
Female,19,6,3,2,4,6,dependable
Male,22,4,5,6,5,5,responsible
Female,17,5,5,6,4,6,lively
Male,20,1,2,7,6,4,dependable
Male,18,3,3,6,5,3,responsible
Female,19,4,4,7,5,6,serious
Female,19,5,4,6,4,3,lively
Male,18,2,5,7,6,7,dependable
Male,18,7,5,6,2,6,serious
Female,20,6,7,5,4,3,lively
Female,18,3,5,3,5,6,responsible
Female,17,3,5,6,3,4,responsible
Male,17,5,4,5,2,7,extraverted
Male,20,5,5,7,2,4,serious
Female,18,4,5,7,4,7,lively
Female,19,2,4,4,3,5,serious
Female,19,6,4,7,5,7,lively
Male,26,1,2,7,4,6,extraverted
Male,27,1,6,7,4,4,lively
Male,20,6,4,4,4,6,dependable
Male,21,5,4,4,6,3,lively
Female,18,6,1,7,6,5,dependable
Male,19,3,3,4,4,3,responsible
Female,20,4,5,2,6,2,responsible
Female,20,4,4,4,4,6,responsible
Male,24,7,2,4,3,4,serious
Female,17,5,4,5,7,6,dependable
Male,17,4,4,3,5,5,responsible
Male,18,5,3,5,6,6,serious
Female,19,4,2,1,5,6,serious
Female,23,6,3,4,5,4,lively
Female,24,5,3,5,5,5,serious
Female,25,5,7,3,7,4,extraverted
Male,18,4,5,6,5,5,responsible
Male,19,5,4,5,1,3,responsible
Female,19,6,1,3,6,6,extraverted
Male,17,6,6,7,6,5,extraverted
Female,18,4,6,3,5,4,serious
Male,22,7,4,2,6,4,dependable
Male,23,3,6,5,4,3,lively
Female,21,4,2,3,5,6,responsible
Female,20,4,4,6,4,3,lively
Male,5,4,5,5,2,2,extraverted
Male,25,5,5,5,4,6,extraverted
Female,26,6,2,6,3,2,dependable
Female,26,7,4,7,5,5,responsible
Female,18,3,3,6,3,5,extraverted
Male,19,2,4,7,6,6,responsible
Male,20,2,2,4,7,3,extraverted
Male,23,3,7,3,3,7,extraverted
5,21,2,5,6,1,5,serious
Male,18,5,4,5,5,1,lively
Female,19,2,5,4,6,6,serious
Male,17,3,6,6,1,6,serious
Female,20,3,4,5,1,4,extraverted
Female,25,4,6,4,5,6,dependable
Male,24,5,6,3,3,4,responsible
Male,26,5,6,6,2,3,lively
Female,21,3,5,7,4,6,extraverted
Female,5,2,5,3,2,7,responsible
Male,23,5,7,1,3,4,extraverted
Female,20,6,5,6,2,7,dependable
Male,19,6,4,5,4,3,dependable
Female,24,2,6,6,5,6,serious
Male,24,4,5,5,6,4,responsible
Male,27,6,6,5,3,6,dependable
Male,28,1,5,6,2,5,serious
Female,20,3,5,5,5,5,dependable
Female,21,4,4,5,6,5,responsible
Female,23,5,2,7,7,6,responsible
Male,24,5,5,5,2,6,serious
Female,25,3,2,4,4,3,lively
Male,26,6,4,6,6,5,extraverted
Male,27,7,5,5,1,5,dependable
Male,19,4,6,4,2,7,extraverted
Female,18,3,5,6,4,7,serious
Female,20,4,5,5,2,5,serious
Female,21,1,4,6,7,5,responsible
Male,21,3,4,5,1,4,serious
Male,21,3,4,5,2,7,serious
Male,18,3,3,5,7,4,extraverted
Female,23,5,1,1,5,5,extraverted
Female,24,3,5,4,1,7,responsible
Male,23,3,6,6,1,6,lively
Male,25,7,2,5,5,6,responsible
Male,19,3,3,3,5,4,dependable
Female,19,2,2,5,4,4,extraverted
Male,20,4,4,4,4,6,dependable
Female,21,5,4,2,5,6,dependable
Female,22,5,5,7,7,4,dependable
Female,18,3,2,7,4,5,dependable
Male,20,6,4,5,7,5,extraverted
Male,23,7,5,4,6,4,lively
Female,24,7,6,4,3,5,lively
Female,26,4,7,5,7,3,extraverted
Male,20,5,3,6,7,6,responsible
Male,18,6,2,7,6,6,dependable
Male,19,2,2,6,4,6,extraverted
Female,21,5,3,4,5,6,dependable
Male,21,1,1,3,6,6,serious
Male,17,6,5,5,5,5,responsible
Female,18,7,6,6,6,4,serious
Female,23,5,2,7,6,6,extraverted
Female,24,6,3,6,4,5,extraverted
Male,23,5,2,3,4,6,serious
Male,25,7,4,6,5,6,serious
Female,19,5,4,6,4,6,lively
Female,17,2,5,7,6,4,responsible
Female,20,3,2,7,6,4,dependable
Male,25,4,4,7,6,4,serious
Male,20,5,2,4,5,7,lively
Male,21,7,4,1,3,4,dependable
Male,22,8,4,2,2,5,lively
Female,20,7,7,7,7,2,extraverted
Male,19,4,6,4,6,6,dependable
Male,20,7,6,4,5,5,dependable
Male,22,7,6,7,4,3,serious
Female,19,4,4,5,5,4,lively
Male,18,5,6,6,6,6,lively
Female,17,5,6,5,7,4,extraverted
Male,17,6,6,7,5,7,serious
Male,21,5,7,5,6,7,lively
Female,19,5,5,5,5,5,lively
Male,22,6,7,5,6,3,serious
Female,19,7,6,7,7,6,extraverted
Male,21,6,6,6,6,6,serious
Male,22,6,7,5,5,5,dependable
Male,21,5,5,5,5,5,extraverted
Male,17,4,6,7,3,3,extraverted
Male,19,7,7,2,6,5,serious
Female,21,6,7,4,4,2,responsible
Male,19,5,6,6,4,3,responsible
Female,21,4,6,3,3,3,extraverted
Male,19,6,4,6,3,6,responsible
Male,22,4,5,4,3,6,serious
Female,21,5,5,5,5,5,responsible
Male,17,5,3,3,4,4,extraverted
Male,19,7,7,5,5,7,serious
Male,19,7,5,6,6,5,serious
Female,18,6,7,5,5,7,responsible
Female,22,4,6,4,6,6,extraverted
Female,26,6,5,6,4,5,lively
Female,20,7,4,7,6,5,dependable
Female,21,6,6,3,5,4,extraverted
Male,23,6,5,5,6,3,extraverted
Male,18,6,6,5,6,6,dependable
Female,24,6,3,5,5,4,lively
Male,18,5,7,3,6,4,extraverted
Female,22,7,6,6,6,5,lively
Male,18,1,6,6,7,5,responsible
Female,20,7,7,5,7,3,dependable
Female,21,7,3,7,7,3,dependable
Female,18,6,5,4,5,5,serious
Male,23,3,5,5,4,2,responsible
Female,25,6,7,6,6,6,extraverted
Female,18,7,5,6,6,4,lively
Female,20,5,5,5,6,2,extraverted
Male,23,6,5,7,6,4,dependable
Male,21,5,6,5,5,3,serious
Female,22,5,5,4,4,3,responsible
Female,20,7,5,5,5,5,serious
Male,18,6,4,3,6,2,lively
Male,17,6,4,7,6,4,lively
Female,19,3,4,5,5,1,responsible
Female,18,4,4,4,6,1,extraverted
Male,17,5,4,3,6,6,serious
Male,23,7,7,4,4,5,extraverted
Female,19,7,6,7,6,6,lively
Male,18,7,5,6,4,3,serious
Female,17,4,5,4,8,4,extraverted
Male,22,6,6,5,4,4,dependable
Female,19,7,8,5,4,7,lively
Male,19,5,4,3,6,3,lively
Male,19,3,7,2,6,5,serious
Male,23,7,6,5,5,5,extraverted
Female,19,7,7,4,5,2,responsible
Male,19,6,6,4,8,6,dependable
Female,18,7,5,5,4,4,lively
Female,24,6,6,5,5,4,serious
Female,17,7,6,5,4,4,responsible
Female,19,5,6,6,7,4,dependable
Male,19,6,5,5,6,4,lively
Male,22,5,5,5,7,3,dependable
Male,18,7,8,4,4,3,extraverted
Male,18,7,6,8,5,7,extraverted
Female,17,5,5,5,5,6,lively
Male,24,5,5,4,4,4,dependable
Female,18,6,6,5,6,4,responsible
Female,18,7,4,7,7,4,serious
Female,17,4,6,4,4,7,extraverted
Male,24,7,4,5,5,5,dependable
Female,19,5,5,5,5,6,lively
Female,18,5,1,6,6,2,lively
Male,18,3,6,3,3,7,responsible
Male,22,7,5,7,5,2,lively
Male,21,8,8,5,5,3,serious
Female,21,6,5,4,7,2,responsible
Female,18,6,4,4,6,5,lively
Female,22,7,5,7,6,1,serious
Female,19,6,3,7,4,4,dependable
Female,18,4,6,4,4,4,serious
Male,20,5,6,6,5,4,lively
Female,20,6,7,6,5,4,responsible
Female,18,5,5,5,4,6,dependable
Male,18,6,5,4,4,3,extraverted
Female,18,7,5,2,4,6,dependable
Female,17,4,4,4,4,4,serious
Male,21,5,8,5,6,4,lively
Male,18,3,6,7,4,3,responsible
Female,18,4,4,5,7,6,extraverted
Male,23,5,5,4,6,3,lively
Male,19,6,3,3,6,4,serious
Male,23,5,5,2,2,1,responsible
Male,18,6,6,3,6,2,responsible
Female,19,6,5,4,5,3,lively
Male,27,7,5,6,7,5,serious
Female,19,6,5,4,7,5,dependable
Female,21,5,5,3,5,2,lively
Female,18,7,6,5,5,1,extraverted
Female,17,7,4,7,3,5,serious
Male,22,5,1,5,1,5,lively
Female,18,5,7,3,2,3,extraverted
Male,22,7,5,6,7,3,dependable
Female,19,5,5,6,3,4,responsible
Male,23,7,5,7,1,5,serious
Female,17,6,6,4,6,4,lively
Male,19,3,4,5,5,5,lively
Male,18,2,6,6,7,7,dependable
Male,23,6,2,6,5,5,responsible
Female,19,5,5,5,1,4,dependable
Male,19,4,6,5,7,5,dependable
Female,28,6,4,6,5,6,lively
Male,23,5,3,4,7,6,dependable
Female,18,4,6,5,6,5,responsible
Male,20,7,5,5,5,2,serious
Female,18,4,5,5,6,4,dependable
Male,22,4,6,6,5,6,lively
Female,19,4,4,6,5,2,serious
Male,28,7,3,5,5,3,extraverted
Female,17,2,6,3,6,3,lively
Female,22,5,7,7,6,2,extraverted
Male,20,6,6,4,5,2,responsible
Female,18,3,1,5,3,2,responsible
Female,19,5,3,4,5,4,dependable
Male,22,3,5,5,7,4,extraverted
Female,21,4,6,3,3,5,responsible
Female,18,5,5,5,6,3,serious
Female,17,4,3,7,6,5,lively
Male,20,4,7,6,5,3,serious
Female,18,5,5,6,1,6,serious
Male,22,2,6,7,2,6,extraverted
Male,19,6,2,6,6,4,serious
Male,21,7,5,6,2,6,dependable
Female,17,6,6,6,6,4,dependable
Female,19,6,2,6,7,3,lively
Female,18,5,3,6,7,5,extraverted
Male,19,5,5,6,2,5,dependable
Female,18,6,5,5,1,6,responsible
Male,19,3,5,6,8,5,serious
Female,19,5,2,3,4,3,lively
Female,22,5,3,6,7,4,serious
Female,17,7,4,5,5,7,extraverted
Male,23,5,3,6,6,5,serious
Female,19,3,4,7,7,3,serious
Male,20,7,5,4,1,5,dependable
Female,17,4,1,6,5,5,responsible
Female,18,3,6,3,7,4,serious
Male,21,6,4,3,1,7,extraverted
Female,19,7,3,2,2,4,dependable
Female,19,2,2,5,5,4,serious
Male,18,6,3,2,3,5,dependable
Male,22,4,6,6,5,4,extraverted
Male,19,6,5,4,6,2,lively
Male,18,2,5,4,6,1,serious
Female,19,4,7,5,4,4,responsible
Male,21,4,7,4,7,3,dependable
Female,19,5,5,5,5,6,lively
Female,19,7,6,7,4,7,dependable
Female,19,5,7,7,7,6,serious
Female,22,6,7,5,4,1,dependable
Female,19,6,6,4,4,6,responsible
Male,27,5,5,7,5,7,lively
Male,17,2,7,2,6,4,dependable
Female,20,6,3,4,5,1,lively
Female,18,5,5,5,3,2,extraverted
Female,17,5,4,4,4,2,extraverted
Male,19,5,3,1,3,5,lively
Male,21,5,5,2,6,4,serious
Female,19,6,6,2,4,2,extraverted
Female,19,5,4,4,4,5,lively
Male,18,7,7,1,1,4,dependable
Male,22,6,2,2,7,4,extraverted
Male,20,6,6,1,5,5,serious
Female,19,5,7,5,5,6,serious
Male,19,4,5,5,4,5,dependable
Male,21,5,3,4,6,2,responsible
Female,19,5,5,4,4,5,serious
Female,27,5,2,5,5,5,extraverted
Female,23,6,7,3,7,6,serious
Female,18,6,5,1,7,4,lively
Male,25,5,5,1,3,6,extraverted
Female,18,6,7,5,5,6,serious
Male,21,5,6,2,7,4,responsible
Female,19,3,4,7,6,5,serious
Male,17,5,5,7,6,5,lively
Female,20,4,5,6,6,1,responsible
Male,18,6,3,1,5,5,dependable
Male,22,5,2,3,6,1,serious
Male,19,5,6,5,7,5,extraverted
Female,18,5,5,7,6,5,extraverted
